app_id,platform,country,channel_id,sub_campaign_id,install_date,spend,revenue,clicks,impressions,installs
5f3f78ff34aaa53b5b19f747,android,RU,0,N/A,2025-03-01,0,"1,7936141025",0,0,84
5f3f78ff34aaa53b5b19f747,android,BR,0,N/A,2025-03-05,0,"1,4662894142",0,0,60
5f3f78ff34aaa53b5b19f747,ios,UZ,0,N/A,2025-03-08,0,"1,1205689027",0,0,12
5f3f78ff34aaa53b5b19f747,ios,US,0,N/A,2025-02-15,0,"43,592729533",0,0,402
5f3f78ff34aaa53b5b19f747,ios,N/A,0,N/A,2025-03-08,0,"53,239254847",0,0,0
5f3f78ff34aaa53b5b19f747,ios,RU,0,N/A,2025-03-02,0,"3,307997361",0,0,60
5f3f78ff34aaa53b5b19f747,ios,FR,0,N/A,2025-03-08,0,"0,0997658188",0,0,6
5f3f78ff34aaa53b5b19f747,android,ZA,0,N/A,2025-03-08,0,"0,5799400665",0,0,18
5f3f78ff34aaa53b5b19f747,android,IQ,0,fd51c91a-8877-4ca8-ac73-b82c65fb13ab,2025-03-07,0,"0,1278998042",0,0,6
5f3f78ff34aaa53b5b19f747,android,SN,0,N/A,2025-03-08,0,"0,0048873857",0,0,6
5f3f78ff34aaa53b5b19f747,ios,GB,0,N/A,2025-03-01,0,"3,0264496478",0,0,60
5f3f78ff34aaa53b5b19f747,ios,SV,0,N/A,2025-03-06,0,"0,461886158",0,0,6
5f3f78ff34aaa53b5b19f747,android,PH,0,N/A,2025-02-08,0,"0,465391344",0,0,48
5f3f78ff34aaa53b5b19f747,android,IN,0,fd51c91a-8877-4ca8-ac73-b82c65fb13ab,2025-03-08,0,0,0,0,6
5f3f78ff34aaa53b5b19f747,ios,DZ,0,N/A,2025-03-08,0,0,0,0,6
5f3f78ff34aaa53b5b19f747,android,BF,0,N/A,2025-03-08,0,"0,090773",0,0,6
5f3f78ff34aaa53b5b19f747,android,AU,0,N/A,2025-02-22,0,"5,9170601237",0,0,18
5f3f78ff34aaa53b5b19f747,ios,JM,0,N/A,2025-03-05,0,"0,1772504923",0,0,6
5f3f78ff34aaa53b5b19f747,ios,KZ,0,b3502483-1953-481b-b7f0-d06065fc67f1,2025-02-07,0,"0,4389932434",0,0,6
5f3f78ff34aaa53b5b19f747,android,IQ,0,N/A,2025-03-06,0,"0,0594586702",0,0,78
5f3f78ff34aaa53b5b19f747,android,AR,0,N/A,2025-03-04,0,"0,1203773451",0,0,42
5f3f78ff34aaa53b5b19f747,android,AR,0,N/A,2025-03-06,0,"0,3609243388",0,0,18
5f3f78ff34aaa53b5b19f747,android,BR,0,N/A,2025-03-02,0,"4,0689509574",0,0,240
5f3f78ff34aaa53b5b19f747,ios,GB,0,N/A,2025-03-07,0,"1,5645729331",0,0,30
5f3f78ff34aaa53b5b19f747,ios,BF,0,N/A,2025-02-08,0,"1,4742877595",0,0,6
5f3f78ff34aaa53b5b19f747,android,PY,0,N/A,2025-03-08,0,0,0,0,12
5f3f78ff34aaa53b5b19f747,ios,DO,0,N/A,2025-03-15,0,"0,052972129",0,0,6
5f3f78ff34aaa53b5b19f747,android,EG,0,fd51c91a-8877-4ca8-ac73-b82c65fb13ab,2025-02-06,0,"0,0285541682",0,0,12
5f3f78ff34aaa53b5b19f747,ios,MX,0,b3502483-1953-481b-b7f0-d06065fc67f1,2025-02-06,0,"0,352231137",0,0,12
5f3f78ff34aaa53b5b19f747,ios,HU,0,b3502483-1953-481b-b7f0-d06065fc67f1,2025-02-05,0,"0,1618687814",0,0,6
5f3f78ff34aaa53b5b19f747,ios,RO,0,b3502483-1953-481b-b7f0-d06065fc67f1,2025-02-06,0,"0,002559438",0,0,6
5f3f78ff34aaa53b5b19f747,android,TJ,0,fd51c91a-8877-4ca8-ac73-b82c65fb13ab,2025-02-06,0,"0,0045945",0,0,12
5f3f78ff34aaa53b5b19f747,android,TR,0,fd51c91a-8877-4ca8-ac73-b82c65fb13ab,2025-02-06,0,"0,1247794608",0,0,12
5f3f78ff34aaa53b5b19f747,ios,MY,0,b3502483-1953-481b-b7f0-d06065fc67f1,2025-02-06,0,"0,2069867333",0,0,12
